seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label3
0.0,-0.586180091,-0.97676748,9.654625893,0.434453994,-0.792688012,-0.487807989,-1224.300049,2.700000048,-918.9000244,-0.715358133,-0.058258387,0.100890414,ST
0.033333333,-0.639414847,-1.00009501,9.367517471,0.602137983,-0.632625997,-0.61738199,-1224.300049,4.5,-928.500061,-0.713432782,-0.065438594,0.104764117,ST
0.066666667,-0.261388481,-1.156808496,9.789207458,0.853663981,-0.205793992,-0.80793196,-1224.300049,6.900000095,-926.1000366,-0.710594004,-0.03132081,0.11465028,ST
0.1,-0.39537251,-1.020431876,9.778441429,1.196653962,-0.586893976,-1.227141976,-1217.100098,0.900000036,-914.1000366,-0.707223365,-0.038130086,0.10332654,ST
0.133333333,-0.379222631,-0.980356336,9.694701195,1.158543944,-0.586893976,-1.097568035,-1231.5,0.300000012,-921.3000488,-0.703995184,-0.03773523,0.099309489,ST
0.166666667,-0.296678901,-1.018039346,9.544567108,1.227141976,-1.387203932,-1.189031959,-1233.900024,1.5,-921.3000488,-0.700736199,-0.029554267,0.103518504,ST
0.2,-0.297875196,-0.882859051,9.923789978,1.12805593,-0.952749968,-1.074702024,-1229.100098,0.900000036,-909.3000488,-0.698242073,-0.028262363,0.089065548,ST
0.233333333,-0.28471604,-0.836802006,9.685729027,1.166165948,-1.227141976,-0.83079797,-1238.700073,-5.100000381,-921.3000488,-0.696189532,-0.027187549,0.084839977,ST
0.266666667,-0.155517176,-0.779978454,9.533203125,0.922261953,-1.166165948,-0.72408998,-1219.5,9.300000191,-928.500061,-0.694422139,-0.01588892,0.080692857,ST
0.3,-0.237462759,-0.728538156,9.502696991,0.685979962,-0.899396002,-0.640248001,-1236.300049,3.900000095,-923.7000122,-0.692736637,-0.022404622,0.075961437,ST
0.333333333,-0.166283742,-0.763828576,9.624718666,0.487807989,-0.564027965,-0.457319975,-1226.700073,-0.300000012,-923.7000122,-0.69148068,-0.017018244,0.078033531,ST
0.366666667,-0.213537037,-0.784763575,9.756908417,0.350611985,-0.602137983,-0.320124,-1231.5,-0.900000036,-916.500061,-0.69057941,-0.020322533,0.079481929,ST
0.4,-0.092114016,-0.846970439,9.607970238,0.342989981,-0.800309956,-0.289635986,-1236.300049,1.5,-916.500061,-0.689762754,-0.009425971,0.086488735,ST
0.433333333,-0.135778457,-0.803305984,9.694701195,0.350611985,-0.655492008,-0.312501997,-1243.5,2.700000048,-918.9000244,-0.689011039,-0.012383079,0.082578078,ST
0.466666667,-0.112450875,-0.773997009,9.709654808,0.464941978,-0.647870004,-0.198172003,-1238.700073,-3.900000095,-918.9000244,-0.688615679,-0.010658586,0.079255815,ST
