seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX____s_,sensor_gyroY____s_,sensor_gyroZ____s_,sensor_magX___T_,sensor_magY___T_,sensor_magZ___T_,sensor_yaw____,sensor_pitch____,sensor_roll____,label5
1.0,0.93669188,-1.456478119,9.434509277,0.327746004,-0.29725799,0.190549999,-1231.5,-11.10000038,-880.500061,-1.068961663,0.098513214,0.152452849,ST
1.03333333333333,1.018039346,-1.509114742,9.583446503,0.266770005,-0.464941978,0.068598002,-1229.100098,-9.900000572,-878.1000366,-1.069878427,0.104821886,0.155499443,ST
1.06666666666667,1.061105609,-1.500142574,9.4375,0.53354001,-0.556405962,0.068598002,-1233.900024,-12.30000019,-878.1000366,-1.070729084,0.110921862,0.156623263,ST
1.1,0.985739589,-1.437337518,9.448864937,0.503051996,-0.396344006,0.106707998,-1233.900024,-10.5,-878.1000366,-1.070866535,0.104048798,0.150650455,ST
1.13333333333333,0.954038024,-1.394869447,9.448266029,0.609759986,-0.121951997,0.335367978,-1236.300049,-11.10000038,-880.500061,-1.071889832,0.100015951,0.145954013,ST
1.16666666666667,0.968393445,-1.371541858,9.378881454,0.678357959,-0.015244,0.472563982,-1231.5,-12.30000019,-880.500061,-1.073681704,0.101591652,0.144246677,ST
1.2,0.962412059,-1.316512704,9.424939156,0.678357959,-0.030487999,0.503051996,-1229.100098,-11.70000076,-885.3000488,-1.075043057,0.100798527,0.138283878,ST
1.23333333333333,0.952841759,-1.332662582,9.481761932,0.655492008,-0.144817993,0.434453994,-1236.300049,-11.10000038,-880.500061,-1.077059115,0.099424735,0.138552093,ST
1.26666666666667,0.958225012,-1.357186437,9.462621689,0.762199998,-0.137196004,0.434453994,-1231.5,-11.10000038,-878.1000366,-1.079219929,0.099989666,0.141002881,ST
1.3,0.910373628,-1.356588244,9.476379395,0.785066009,-0.068598002,0.381099999,-1233.900024,-12.30000019,-878.1000366,-1.080899629,0.095226823,0.140892637,ST
1.33333333333333,0.848764896,-1.380514026,9.487145424,0.846041977,0.152439997,0.358233988,-1233.900024,-12.90000057,-878.1000366,-1.082626334,0.088450228,0.14292569,ST
1.36666666666667,0.835007608,-1.40743041,9.487145424,0.838419974,0.213415995,0.373477995,-1236.300049,-11.70000076,-880.500061,-1.084279129,0.086567519,0.145599391,ST
1.4,0.71777159,-1.326082945,9.500305176,0.83079797,0.160062,0.282013983,-1229.100098,-10.5,-878.1000366,-1.084779801,0.075448795,0.138024831,ST
1.43333333333333,0.64719069,-1.285409212,9.417760849,0.990859985,0.190549999,0.373477995,-1229.100098,-11.10000038,-880.500061,-1.085944544,0.06827984,0.134329651,ST
1.46666666666667,0.699229121,-1.227987528,9.58045578,1.028970003,-0.060975999,0.243903995,-1236.300049,-12.90000057,-880.500061,-1.086506951,0.071952718,0.126495682,ST
1.5,0.772202551,-1.095199823,9.505687714,1.272873998,-0.457319975,0.266770005,-1233.900024,-12.30000019,-880.500061,-1.086978208,0.080424182,0.113795318,ST
1.53333333333333,0.812876284,-0.897812605,9.536791801,1.42531395,-0.800309956,0.320124,-1229.100098,-12.90000057,-880.500061,-1.087080119,0.085491153,0.093459147,ST
1.56666666666667,0.925327182,-0.765024841,9.543371201,1.478667974,-0.876529992,0.510674,-1233.900024,-14.70000076,-878.1000366,-1.08836426,0.096875076,0.078711453,ST
