seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label2
0.0,2.21432519,-1.711885214,9.182092667,0.190549999,-0.381099999,0.099086002,-1250.700073,18.90000153,-890.1000366,-2.009589216,0.233342639,0.184082908,ST
0.033333333,2.208941936,-1.721455455,9.136633873,0.121951997,-0.342989981,0.076219998,-1248.300049,23.10000038,-890.1000366,-2.010722678,0.233802524,0.18597629,ST
0.066666667,2.161688805,-1.72265172,9.21558857,0.175305992,-0.266770005,0.076219998,-1248.300049,21.90000153,-899.7000122,-2.011061998,0.227457008,0.18462669,ST
0.1,2.208343744,-1.757344007,9.212597847,0.068598002,-0.312501997,-0.015244,-1253.100098,27.30000114,-890.1000366,-2.012097938,0.231529312,0.188159907,ST
0.133333333,2.128192663,-1.670015216,9.201831818,0.152439997,-0.274392009,0.182927996,-1238.700073,20.10000038,-890.1000366,-2.011269556,0.224611953,0.179891375,ST
0.166666667,2.289093256,-1.737007141,9.113903999,0.243903995,-0.304879993,0.442075998,-1238.700073,18.90000153,-885.3000488,-2.015433576,0.241495919,0.187749987,ST
0.2,2.246026754,-1.758540392,9.124073029,0.099086002,-0.282013983,0.472563982,-1245.900024,27.90000153,-880.500061,-2.018155348,0.237737473,0.19028466,ST
0.233333333,2.257391691,-1.803401113,9.131848335,0.091463998,-0.045731999,0.472563982,-1241.100098,18.90000153,-885.3000488,-2.021335326,0.237837267,0.194808003,ST
0.266666667,2.179034948,-1.789643764,9.199439049,0.144817993,-0.083841994,0.381099999,-1245.900024,23.10000038,-890.1000366,-2.022399742,0.229032861,0.192212611,ST
0.3,2.199371815,-1.833906293,9.194653511,0.099086002,-0.114329994,0.274392009,-1243.5,26.10000038,-878.1000366,-2.024619211,0.230427262,0.196537163,ST
0.333333333,2.092902184,-1.787849307,9.1073246,0.114329994,-0.114329994,0.289635986,-1241.100098,20.70000076,-882.9000244,-2.025377175,0.222354634,0.193916872,ST
0.366666667,2.088117123,-1.80280292,9.217981339,0.190549999,-0.091463998,0.434453994,-1243.5,20.70000076,-885.3000488,-2.02721177,0.218944033,0.193023053,ST
0.4,2.155707359,-1.86620605,9.139026642,0.243903995,-0.198172003,0.419209987,-1245.900024,18.90000153,-892.500061,-2.031105656,0.226948285,0.200827411,ST
0.433333333,2.12998724,-1.809382439,9.116296768,0.29725799,-0.076219998,0.396344006,-1233.900024,14.10000038,-885.3000488,-2.032002315,0.225354238,0.195805292,ST
0.466666667,2.134174109,-1.879365206,9.136633873,0.221037999,-0.053353999,0.243903995,-1243.5,25.50000191,-892.500061,-2.034603075,0.224955291,0.202169332,ST
0.5,1.981647611,-1.844672918,9.18269062,0.243903995,0.068598002,0.091463998,-1245.900024,20.10000038,-894.9000244,-2.034258345,0.209165989,0.198061314,ST
0.533333333,2.038471222,-1.734614611,9.412377357,0.625003994,0.053353999,0.259148002,-1241.100098,23.10000038,-882.9000244,-2.032463306,0.209647049,0.182265262,ST
0.566666667,2.180231094,-1.851252437,9.106726646,0.510674,-0.42683199,0.0,-1238.700073,23.10000038,-880.500061,-2.036807457,0.229871149,0.198631267,ST
0.6,2.098883629,-1.791438222,8.970350266,0.274392009,-0.40396598,0.015244,-1238.700073,24.30000114,-892.500061,-2.037027005,0.226430081,0.196779281,ST
0.633333333,2.070770979,-1.704707503,9.250879288,0.236281991,-0.144817993,0.274392009,-1229.100098,18.90000153,-882.9000244,-2.035404025,0.217266571,0.182584701,ST
0.666666667,2.213129044,-1.815962076,9.158764839,0.289635986,-0.221037999,0.586893976,-1236.300049,17.70000076,-892.500061,-2.040793356,0.231966333,0.19469873,ST
0.7,2.3064394,-1.927814841,9.168335915,0.182927996,-0.320124,0.396344006,-1236.300049,21.90000153,-890.1000366,-2.045628505,0.241308063,0.206513092,ST
0.733333333,2.295074463,-1.957721949,9.22755146,0.198172003,-0.342989981,0.167683989,-1238.700073,18.90000153,-878.1000366,-2.047252807,0.239320393,0.20867554,ST
0.766666667,2.080939293,-1.909272313,9.284973145,0.388722003,-0.129574001,0.114329994,-1241.100098,24.90000153,-894.9000244,-2.046764095,0.217676002,0.202571584,ST
0.8,1.929609179,-1.793232679,9.197644234,0.571649969,0.114329994,0.144817993,-1238.700073,17.70000076,-882.9000244,-2.045557952,0.203733723,0.192260736,ST
0.833333333,1.68975389,-1.696931601,9.104333878,0.762199998,0.282013983,0.335367978,-1248.300049,20.70000076,-880.500061,-2.045575328,0.181326185,0.183591178,ST
0.866666667,1.427169085,-1.673005939,9.085193634,0.72408998,0.464941978,0.442075998,-1238.700073,21.30000114,-892.500061,-2.047084081,0.153922536,0.181085324,ST
0.9,1.337447643,-1.490572333,9.264038086,0.769822001,0.282013983,0.449698001,-1245.900024,20.70000076,-899.7000122,-2.046048468,0.141606823,0.159404206,ST
0.933333333,1.514497995,-1.523470163,9.587634087,1.028970003,-0.289635986,0.61738199,-1241.100098,24.90000153,-887.7000122,-2.048801841,0.154272816,0.156170135,ST
0.966666667,1.724446177,-1.65685606,9.021790504,0.945127964,-1.189031959,0.129574001,-1231.5,20.10000038,-880.500061,-2.054571146,0.185802852,0.178625032,ST
1.0,1.664033771,-1.617976785,9.070240021,0.792688012,-0.983237982,-0.236281991,-1233.900024,23.70000076,-892.500061,-2.054320767,0.180737617,0.175314633,ST
1.033333333,1.649080157,-1.505525827,9.082800865,0.960371971,-0.876529992,-0.29725799,-1248.300049,20.70000076,-887.7000122,-2.052262789,0.178925436,0.163164696,ST
1.066666667,1.555171728,-1.589864016,8.722719193,0.983237982,-0.762199998,-0.388722003,-1245.900024,18.90000153,-890.1000366,-2.054495528,0.175298941,0.177567155,ST
1.1,0.968991637,-1.631135941,8.699391365,1.036592007,0.609759986,-0.350611985,-1248.300049,20.10000038,-902.1000366,-2.053921824,0.111067267,0.183191095,ST
1.133333333,0.626255691,-1.457674384,9.0540905,1.410069942,1.356715918,-0.358233988,-1241.100098,23.10000038,-887.7000122,-2.049669195,0.067931765,0.158237329,ST
1.166666667,0.308641762,-1.382308364,9.219776154,1.920743942,0.868907988,0.114329994,-1229.100098,21.30000114,-892.500061,-2.049359973,0.033164555,0.146028934,ST
1.2,0.059216153,-1.320699692,8.67905426,1.783547997,-0.068598002,0.053353999,-1236.300049,20.70000076,-899.7000122,-2.049775876,0.008445385,0.147788143,ST
