seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label5
0.0,-6.093282223,-1.149032593,7.313494205,0.198172003,-0.205793992,0.160062,-957.9000244,9.300000191,-906.9000244,-2.891243918,-0.688330076,0.15521731,ST
0.033333333,-6.027486801,-1.156210423,7.236931801,0.289635986,-0.213415995,0.228659987,-957.9000244,10.5,-930.9000244,-2.889916176,-0.687975437,0.15754482,ST
0.066666667,-6.063973427,-1.132284641,7.237529755,0.259148002,-0.190549999,0.342989981,-967.500061,9.300000191,-894.9000244,-2.893133038,-0.69121154,0.154209703,ST
0.1,-6.036458969,-1.122116208,7.303325653,0.205793992,-0.243903995,0.442075998,-953.1000366,6.900000095,-904.500061,-2.897081033,-0.684697287,0.151422321,ST
0.133333333,-6.081917763,-1.079648018,7.290166378,0.091463998,-0.320124,0.472563982,-972.3000488,9.300000191,-904.500061,-2.903558445,-0.689515666,0.146136762,ST
0.166666667,-5.974252224,-1.129293919,7.259063244,0.053353999,-0.259148002,0.434453994,-957.9000244,9.300000191,-906.9000244,-2.901892944,-0.682433283,0.153562293,ST
0.2,-6.025094032,-1.108957052,7.314092159,0.076219998,-0.137196004,0.358233988,-965.1000366,12.30000019,-909.3000488,-2.906493418,-0.683349258,0.14981379,ST
0.233333333,-5.96587801,-1.14843452,7.265642643,0.106707998,-0.099086002,0.304879993,-969.9000244,10.5,-914.1000366,-2.904306864,-0.681349502,0.15612741,ST
0.266666667,-6.045431137,-1.111349583,7.287175655,0.083841994,-0.106707998,0.243903995,-960.3000488,0.900000036,-916.500061,-2.908996514,-0.686758068,0.150835858,ST
0.3,-6.055001259,-1.120919943,7.282989025,0.114329994,-0.121951997,0.312501997,-955.500061,6.900000095,-911.7000122,-2.909895235,-0.687712487,0.152040063,ST
0.333333333,-6.047823429,-1.125705123,7.291961193,0.137196004,-0.129574001,0.312501997,-955.500061,10.5,-906.9000244,-2.911263845,-0.686482509,0.1524572,ST
0.366666667,-6.039449692,-1.121518016,7.260857582,0.152439997,-0.068598002,0.312501997,-965.1000366,12.30000019,-906.9000244,-2.912686129,-0.687995518,0.152525513,ST
0.4,-6.055599213,-1.089218378,7.256670475,0.114329994,0.038109999,0.373477995,-957.9000244,11.70000076,-909.3000488,-2.917424434,-0.690104584,0.14826749,ST
0.433333333,-6.04842186,-1.086227655,7.25128746,0.091463998,0.022865999,0.472563982,-960.3000488,3.900000095,-906.9000244,-2.920442212,-0.689909755,0.147865107,ST
0.466666667,-5.966475964,-1.162191749,7.225566864,0.175305992,0.053353999,0.388722003,-967.500061,9.900000572,-906.9000244,-2.915278483,-0.684189496,0.158620519,ST
0.5,-6.081917763,-1.102975607,7.330840111,0.106707998,-0.038109999,0.190549999,-962.7000122,5.100000381,-914.1000366,-2.92220049,-0.687036116,0.148888747,ST
0.533333333,-6.056795597,-1.114340305,7.244109631,0.198172003,-0.099086002,0.213415995,-965.1000366,6.900000095,-911.7000122,-2.920695911,-0.690500047,0.151953872,ST
0.566666667,-6.057991982,-1.129293919,7.143621445,0.221037999,-0.076219998,0.221037999,-957.9000244,10.5,-914.1000366,-2.918393449,-0.697184143,0.156057634,ST
0.6,-6.133358002,-1.132882833,7.229156017,0.167683989,0.015244,0.335367978,-960.3000488,8.100000381,-904.500061,-2.920775023,-0.697713888,0.154672817,ST
0.633333333,-6.087301254,-1.128695846,7.212408066,0.152439997,-0.076219998,0.342989981,-962.7000122,4.5,-914.1000366,-2.922492942,-0.695011384,0.154458548,ST
0.666666667,-6.075338364,-1.138266087,7.190874577,0.129574001,-0.053353999,0.29725799,-960.3000488,5.700000286,-902.1000366,-2.92267111,-0.69540159,0.156321581,ST
0.7,-6.077132702,-1.129892111,7.221380234,0.068598002,-0.091463998,0.175305992,-960.3000488,15.30000019,-902.1000366,-2.924641339,-0.693505857,0.154816129,ST
