seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label3
0.0,-2.635417938,-0.294884473,9.216785431,0.259148002,-0.373477995,0.365855992,-1097.100098,-13.50000095,-978.9000244,-3.065323851,-0.277975194,0.031473426,ST
0.033333333,-2.528350353,-0.392381787,9.240112305,0.053353999,-0.335367978,0.289635986,-1109.100098,-12.30000019,-993.3000488,-3.063667076,-0.267178114,0.041394102,ST
0.066666667,-2.565435171,-0.381615222,9.283777237,0.068598002,-0.381099999,0.121951997,-1099.5,-12.30000019,-974.1000366,-3.064182296,-0.268593892,0.040941759,ST
0.1,-2.54150939,-0.43305552,9.206018448,0.152439997,-0.274392009,-0.007622,-1099.5,-12.90000057,-981.3000488,-3.062658521,-0.268598831,0.046212984,ST
0.133333333,-2.577398062,-0.443223953,9.247888565,0.175305992,-0.182927996,-0.243903995,-1101.900024,-12.30000019,-981.3000488,-3.061354148,-0.270936014,0.047563595,ST
0.166666667,-2.663530588,-0.458177507,9.2724123,0.182927996,-0.282013983,-0.266770005,-1099.5,-14.70000076,-976.500061,-3.05994337,-0.278165278,0.049032137,ST
0.2,-2.693437815,-0.427672237,9.290356636,0.259148002,-0.434453994,-0.137196004,-1099.5,-12.90000057,-978.9000244,-3.060143812,-0.280906369,0.045866449,ST
0.233333333,-2.617473602,-0.520982504,9.140820503,0.213415995,-0.449698001,0.068598002,-1106.700073,-9.900000572,-990.9000244,-3.057573811,-0.277974681,0.055551949,ST
0.266666667,-2.685662031,-0.438438803,9.336413383,0.106707998,-0.480185986,0.083841994,-1099.5,-9.900000572,-974.1000366,-3.060047779,-0.278881115,0.047488508,ST
0.3,-2.543303967,-0.532347262,9.234130859,0.236281991,-0.388722003,0.365855992,-1097.100098,-15.30000019,-981.3000488,-3.058775163,-0.268707103,0.056130047,ST
0.333333333,-2.525957823,-0.580796838,9.274207115,0.289635986,-0.327746004,0.282013983,-1092.300049,-6.300000191,-986.1000366,-3.058166087,-0.265140465,0.061498768,ST
0.366666667,-2.615081072,-0.476719946,9.371106148,0.40396598,-0.457319975,0.228659987,-1106.700073,-13.50000095,-978.9000244,-3.061517312,-0.270621075,0.050792278,ST
0.4,-2.608501434,-0.352306217,9.38845253,0.419209987,-0.640248001,0.442075998,-1099.5,-8.700000763,-978.9000244,-3.066278912,-0.269807147,0.037625135,ST
0.433333333,-2.399151564,-0.373839349,9.140222549,0.289635986,-0.61738199,0.678357959,-1106.700073,-11.10000038,-993.3000488,-3.067788591,-0.256755412,0.039828988,ST
0.466666667,-2.359075785,-0.453990519,9.30949688,0.243903995,-0.40396598,0.495429993,-1104.300049,-15.30000019,-974.1000366,-3.067421904,-0.248096174,0.047329353,ST
0.5,-2.347113132,-0.442625791,9.252673149,0.327746004,-0.396344006,0.259148002,-1094.700073,-9.900000572,-988.500061,-3.068164091,-0.247532623,0.047123387,ST
0.533333333,-2.527752161,-0.457579374,9.250281334,0.434453994,-0.160062,-0.007622,-1106.700073,-10.5,-981.3000488,-3.067411452,-0.264620102,0.048538761,ST
0.566666667,-2.579790592,-0.477916241,9.362731934,0.388722003,-0.251525998,-0.160062,-1099.5,-6.300000191,-981.3000488,-3.066064206,-0.267820251,0.050252012,ST
0.6,-2.608501434,-0.471336663,9.179101944,0.29725799,-0.625003994,-0.038109999,-1116.300049,-6.900000095,-983.7000122,-3.0656158,-0.274865549,0.050747208,ST
0.633333333,-2.610296011,-0.445616513,9.344787598,0.182927996,-0.716467977,0.015244,-1101.900024,-8.100000381,-988.500061,-3.066470166,-0.27115021,0.047565999,ST
0.666666667,-2.383001566,-0.392381787,9.283777237,0.091463998,-1.021348,0.251525998,-1109.100098,-12.30000019,-978.9000244,-3.068776514,-0.250932787,0.042368511,ST
0.7,-2.332159519,-0.365465343,9.364526749,0.121951997,-1.173787951,0.449698001,-1109.100098,-13.50000095,-983.7000122,-3.071180666,-0.2427012,0.03892066,ST
0.733333333,-2.222101212,-0.348717362,9.308898926,0.182927996,-0.861285985,0.647870004,-1109.100098,-11.70000076,-978.9000244,-3.073830882,-0.233530363,0.037011277,ST
0.766666667,-2.014545441,-0.520384371,9.173718452,0.160062,-0.594515979,0.640248001,-1106.700073,-9.900000572,-990.9000244,-3.072110688,-0.216401057,0.054550628,ST
0.8,-2.167072058,-0.488682806,9.453649521,0.114329994,-0.464941978,0.190549999,-1106.700073,-14.10000038,-971.7000122,-3.073381339,-0.223544388,0.0516514,ST
0.833333333,-2.119220495,-0.592759669,9.303515434,0.335367978,-0.320124,0.205793992,-1121.100098,-11.70000076,-976.500061,-3.071603097,-0.223043006,0.061930606,ST
0.866666667,-2.195184708,-0.500047505,9.582250595,0.274392009,-0.503051996,-0.228659987,-1109.100098,-13.50000095,-976.500061,-3.072773561,-0.223921946,0.052660969,ST
0.9,-2.349505663,-0.372643083,9.351964951,0.541162014,-0.564027965,-0.038109999,-1118.700073,-9.300000191,-976.500061,-3.075193141,-0.243061444,0.040139049,ST
0.933333333,-2.313018799,-0.401353925,9.203625679,0.419209987,-0.106707998,0.152439997,-1113.900024,-13.50000095,-974.1000366,-3.074786857,-0.245568515,0.042541229,ST
0.966666667,-2.311822653,-0.46116823,9.274805069,0.129574001,-0.053353999,0.167683989,-1106.700073,-10.5,-976.500061,-3.073740229,-0.24406235,0.048763097,ST
1.0,-2.376421928,-0.479710668,9.340600967,-0.045731999,-0.274392009,0.228659987,-1123.5,-8.100000381,-969.3000488,-3.074031543,-0.247971556,0.051057149,ST
1.033333333,-2.277130365,-0.517991841,9.379480362,-0.022865999,-0.480185986,0.388722003,-1111.5,-6.900000095,-981.3000488,-3.074568151,-0.238011578,0.054674206,ST
1.066666667,-2.280719042,-0.519786239,9.46381855,0.121951997,-0.754577994,0.503051996,-1128.300049,-8.100000381,-974.1000366,-3.076558782,-0.235070343,0.054443219,ST
1.1,-2.26157856,-0.503038228,9.335217476,0.304879993,-0.762199998,0.754577994,-1111.5,-15.30000019,-962.1000366,-3.079295065,-0.236001464,0.053102081,ST
1.133333333,-2.22628808,-0.427672237,9.260449409,0.259148002,-0.663114011,0.861285985,-1121.100098,-6.900000095,-978.9000244,-3.083735615,-0.234731134,0.046028564,ST
1.166666667,-2.142548084,-0.368456066,9.36632061,0.129574001,-0.61738199,0.891773999,-1116.300049,-8.100000381,-978.9000244,-3.088438293,-0.224531933,0.039273525,ST
1.2,-2.097687483,-0.43066293,9.304114342,-0.083841994,-0.586893976,0.907018006,-1109.100098,-9.300000191,-993.3000488,-3.090283171,-0.220926489,0.045422609,ST
1.233333333,-1.984638333,-0.479112506,9.341198921,-0.312501997,-0.442075998,0.693601966,-1113.900024,-12.90000057,-981.3000488,-3.091739574,-0.209506702,0.050971636,ST
1.266666667,-1.985236526,-0.498253107,9.367517471,-0.350611985,-0.419209987,0.464941978,-1118.700073,-9.300000191,-974.1000366,-3.093144294,-0.208012295,0.053336613,ST
1.3,-2.05462122,-0.586778283,9.206018448,-0.221037999,-0.571649969,0.266770005,-1116.300049,-8.700000763,-974.1000366,-3.09228787,-0.217266266,0.062963203,ST
1.333333333,-2.281915426,-0.708799422,9.398022652,-0.42683199,-0.442075998,0.007622,-1116.300049,-18.90000153,-986.1000366,-3.090082317,-0.2351684,0.074923657,ST
1.366666667,-2.555266857,-0.493467957,9.511071205,-0.198172003,-0.342989981,0.121951997,-1109.100098,-6.900000095,-983.7000122,-3.095868626,-0.259369188,0.054019085,ST
1.4,-2.497844934,-0.58378756,9.37409687,-0.121951997,-0.243903995,0.289635986,-1116.300049,-8.700000763,-974.1000366,-3.095082803,-0.259522952,0.061586366,ST
1.433333333,-2.500835657,-0.603526235,9.210803986,-0.091463998,-0.083841994,0.221037999,-1121.100098,-14.70000076,-983.7000122,-3.095001602,-0.264011148,0.065130626,ST
1.466666667,-2.474517584,-0.589170814,8.966162682,0.038109999,0.61738199,-0.198172003,-1109.100098,-8.100000381,-981.3000488,-3.094045363,-0.269259464,0.065615579,ST
1.5,-2.582781315,-0.523973227,9.177906036,0.190549999,0.868907988,-0.685979962,-1113.900024,-7.500000477,-988.500061,-3.093316306,-0.274920612,0.057645541,ST
1.533333333,-2.634221554,-0.585581958,8.993678093,0.342989981,0.556405962,-1.097568035,-1116.300049,-5.700000286,-974.1000366,-3.086975838,-0.284499473,0.064486998,ST
1.566666667,-2.5791924,-0.704612434,8.850721359,0.144817993,0.243903995,-1.455801964,-1111.5,-9.300000191,-974.1000366,-3.078024399,-0.283086944,0.078540853,ST
