seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label2
0.0,-2.028900862,-1.021030068,9.386657715,0.487807989,-0.800309956,0.137196004,-1121.100098,-8.700000763,-966.9000244,-2.558033785,-0.211869832,0.108023074,ST
0.033333333,-2.007966042,-0.934897482,9.31727314,0.602137983,-0.800309956,0.129574001,-1113.900024,0.900000036,-983.7000122,-2.559832493,-0.210204807,0.100410816,ST
0.066666667,-2.033686161,-0.933701158,9.216186523,0.495429993,-0.61738199,0.221037999,-1118.700073,-4.5,-981.3000488,-2.5603352,-0.214261014,0.100064828,ST
0.1,-1.964899659,-0.943271458,9.348974228,0.236281991,-0.503051996,0.137196004,-1130.700073,-0.900000036,-974.1000366,-2.560640547,-0.207098552,0.100072415,ST
0.133333333,-1.953534961,-0.930112302,9.34777832,0.40396598,-0.602137983,0.160062,-1116.300049,-0.900000036,-969.3000488,-2.561218875,-0.204637622,0.098728878,ST
0.166666667,-2.010956764,-0.920542061,9.282580376,0.342989981,-0.632625997,0.274392009,-1118.700073,-6.900000095,-969.3000488,-2.561931119,-0.210018681,0.098238093,ST
0.2,-1.987629056,-0.886447906,9.324450493,0.221037999,-0.571649969,0.365855992,-1113.900024,-7.500000477,-976.500061,-2.563433235,-0.208544804,0.095046717,ST
0.233333333,-1.977460623,-0.93669188,9.394433975,0.099086002,-0.434453994,0.518296003,-1123.5,-9.900000572,-971.7000122,-2.563993304,-0.206355492,0.098204417,ST
0.266666667,-1.936188817,-1.010861635,9.453649521,0.106707998,-0.419209987,0.457319975,-1118.700073,2.700000048,-976.500061,-2.563793064,-0.201413482,0.104650506,ST
0.3,-1.862019062,-1.010861635,9.431518555,0.213415995,-0.396344006,0.29725799,-1113.900024,-6.900000095,-969.3000488,-2.564201571,-0.194857625,0.105953586,ST
0.333333333,-1.887739182,-0.985739589,9.375890732,0.40396598,-0.350611985,0.121951997,-1118.700073,-3.900000095,-986.1000366,-2.5646826,-0.196597277,0.104386503,ST
0.366666667,-1.871589303,-1.003085732,9.377087593,0.480185986,-0.373477995,0.091463998,-1111.5,-5.100000381,-978.9000244,-2.564559208,-0.195547504,0.105422213,ST
0.4,-1.852448821,-0.914560616,9.351366997,0.525918007,-0.396344006,0.045731999,-1113.900024,-3.900000095,-969.3000488,-2.56591066,-0.194275502,0.098227356,ST
0.433333333,-1.888935447,-0.919345737,9.311291695,0.411587983,-0.381099999,0.175305992,-1123.5,-10.5,-971.7000122,-2.566318894,-0.197806512,0.097731183,ST
0.466666667,-1.80280292,-0.915158749,9.491930962,0.304879993,-0.503051996,0.144817993,-1121.100098,-13.50000095,-978.9000244,-2.566958821,-0.188377998,0.09596559,ST
0.5,-1.80041039,-0.765024841,9.40340519,0.518296003,-0.647870004,0.160062,-1133.100098,-8.700000763,-976.500061,-2.569580295,-0.187651584,0.083378768,ST
0.533333333,-1.825532317,-0.715379,9.412377357,0.53354001,-0.586893976,0.510674,-1130.700073,-6.900000095,-974.1000366,-2.57190069,-0.189593982,0.076483355,ST
0.566666667,-1.702314854,-0.849961162,9.370508194,0.167683989,-0.487807989,0.663114011,-1125.900024,-6.900000095,-983.7000122,-2.571438627,-0.180529048,0.08723172,ST
0.6,-1.686763167,-0.809885561,9.451855659,-0.182927996,-0.29725799,0.327746004,-1123.5,-12.90000057,-966.9000244,-2.572531317,-0.176513776,0.085996724,ST
0.633333333,-1.969086647,-0.898410738,9.162952423,-0.121951997,0.358233988,0.464941978,-1109.100098,-3.300000191,-974.1000366,-2.5717772,-0.204364222,0.095411037,ST
0.666666667,-1.838691473,-1.101779342,9.709056854,-0.464941978,0.510674,-0.030487999,-1121.100098,-8.700000763,-976.500061,-2.56876128,-0.189636681,0.110944478,ST
0.7,-1.927814841,-0.961813927,9.523034096,-0.160062,0.373477995,-0.236281991,-1121.100098,-5.700000286,-962.1000366,-2.569748514,-0.197729074,0.102697586,ST
0.733333333,-1.937983274,-0.918747604,9.254467964,0.137196004,0.365855992,-0.160062,-1111.5,-0.300000012,-986.1000366,-2.569860651,-0.204474051,0.09952647,ST
0.766666667,-1.876972675,-0.936093748,9.116296768,0.022865999,0.236281991,-0.160062,-1116.300049,-6.900000095,-966.9000244,-2.56894215,-0.202773006,0.101847038,ST
0.8,-1.887739182,-1.0425632,9.119885445,-0.083841994,0.076219998,-0.030487999,-1121.100098,0.300000012,-969.3000488,-2.566941905,-0.202917641,0.111538096,ST
0.833333333,-2.067182064,-1.108358979,9.347180367,-0.015244,0.198172003,-0.167683989,-1116.300049,-12.30000019,-983.7000122,-2.565323323,-0.214356465,0.117083654,ST
0.866666667,-1.988825321,-1.220809817,9.315478325,0.091463998,0.091463998,-0.304879993,-1106.700073,-0.300000012,-976.500061,-2.562355343,-0.209843291,0.1276138,ST
0.9,-2.030097246,-1.056918621,9.324450493,0.442075998,-0.586893976,-0.289635986,-1121.100098,-8.700000763,-962.1000366,-2.564232192,-0.211546885,0.115290387,ST
0.933333333,-1.967890382,-1.099386811,9.478173256,0.358233988,-0.945127964,-0.099086002,-1109.100098,-0.300000012,-962.1000366,-2.564157891,-0.20370844,0.114936469,ST
