seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX___s_,sensor_gyroY___s_,sensor_gyroZ___s_,sensor_magX__T_,sensor_magY__T_,sensor_magZ__T_,sensor_yaw___,sensor_pitch___,sensor_roll___,label4
0.0,-1.309933066,-0.9719823,9.497314453,0.137196004,0.068598002,0.022865999,-1128.300049,-13.50000095,-978.9000244,1.777414853,-0.136460566,0.101755539,ST
0.033333333,-1.434944987,-0.946262181,9.51286602,0.304879993,0.167683989,-0.144817993,-1121.100098,-9.900000572,-966.9000244,1.778007518,-0.148895538,0.098742641,ST
0.066666667,-1.489974141,-0.96958977,9.498510361,0.373477995,0.030487999,-0.175305992,-1109.100098,-13.50000095,-976.500061,1.779422487,-0.154585846,0.101025142,ST
0.1,-1.498946309,-0.924729049,9.472789764,0.373477995,-0.160062,-0.099086002,-1118.700073,-11.10000038,-971.7000122,1.779422113,-0.155856821,0.096858472,ST
0.133333333,-1.484590888,-0.932504892,9.485351563,0.381099999,-0.259148002,0.022865999,-1121.100098,-11.10000038,-976.500061,1.779542576,-0.154147567,0.097298313,ST
0.166666667,-1.469637275,-0.93669188,9.530212402,0.365855992,-0.335367978,0.091463998,-1121.100098,-12.30000019,-966.9000244,1.779236166,-0.151812441,0.097300193,ST
0.2,-1.381112099,-0.937290013,9.441088676,0.373477995,-0.243903995,0.144817993,-1118.700073,-4.5,-971.7000122,1.778858282,-0.144468345,0.098219924,ST
0.233333333,-1.427169085,-0.876279473,9.521838188,0.480185986,-0.137196004,0.114329994,-1121.100098,-8.700000763,-976.500061,1.777581607,-0.147798456,0.091196397,ST
0.266666667,-1.35778451,-0.951047301,9.472191811,0.487807989,-0.129574001,0.0,-1125.900024,-8.700000763,-959.7000122,1.778956382,-0.141704982,0.098888963,ST
0.3,-1.376326919,-0.875083148,9.53559494,0.548784018,-0.213415995,-0.144817993,-1125.900024,-8.700000763,-962.1000366,1.778753875,-0.142333491,0.090924338,ST
0.333333333,-1.369149208,-0.860727727,9.47877121,0.586893976,-0.266770005,-0.106707998,-1111.5,-8.100000381,-978.9000244,1.779326298,-0.142389036,0.089609365,ST
0.366666667,-1.431356072,-0.811081886,9.482958794,0.579271972,-0.266770005,0.007622,-1113.900024,-9.300000191,-983.7000122,1.778857486,-0.148649991,0.08443558,ST
0.4,-1.399654508,-0.79074502,9.434509277,0.464941978,-0.312501997,0.083841994,-1121.100098,-9.300000191,-983.7000122,1.778438507,-0.146339717,0.082846224,ST
0.433333333,-1.345223546,-0.79553014,9.393237114,0.320124,-0.228659987,0.106707998,-1125.900024,-6.300000191,-990.9000244,1.778222085,-0.141564141,0.083857379,ST
0.466666667,-1.311727524,-0.870896161,9.552941322,0.167683989,-0.198172003,0.076219998,-1128.300049,-9.900000572,-969.3000488,1.778771367,-0.135717784,0.090431678,ST
0.5,-1.363765955,-0.853550017,9.469201088,0.251525998,-0.160062,0.022865999,-1121.100098,-8.700000763,-983.7000122,1.778632156,-0.141960081,0.089483814,ST
0.533333333,-1.408626676,-0.869699895,9.456640244,0.289635986,0.015244,0.045731999,-1121.100098,-9.300000191,-969.3000488,1.778860141,-0.147074017,0.091122763,ST
0.566666667,-1.405635953,-0.883457184,9.417760849,0.213415995,0.068598002,0.060975999,-1113.900024,-12.90000057,-978.9000244,1.779041894,-0.147627468,0.09306505,ST
0.6,-1.446907878,-0.878672004,9.516454697,0.175305992,-0.007622,0.114329994,-1133.100098,-19.5,-971.7000122,1.778450778,-0.150155724,0.091788686,ST
0.633333333,-1.451094866,-0.897214472,9.511669159,0.190549999,-0.190549999,0.236281991,-1109.100098,-20.10000038,-981.3000488,1.777697243,-0.150428963,0.093574377,ST
0.666666667,-1.433748722,-0.863120317,9.482958794,0.198172003,-0.266770005,0.335367978,-1123.5,-14.70000076,-981.3000488,1.775735817,-0.149093056,0.090459843,ST
0.7,-1.394271255,-0.907981038,9.387255669,0.182927996,-0.259148002,0.327746004,-1130.700073,-12.90000057,-974.1000366,1.774922151,-0.14645571,0.095858809,ST
0.733333333,-1.350606799,-0.951047301,9.4907341,0.007622,-0.137196004,0.121951997,-1116.300049,-9.300000191,-976.500061,1.774856994,-0.140690508,0.099666716,ST
0.766666667,-1.335653305,-0.967795312,9.525426865,0.228659987,-0.274392009,0.068598002,-1123.5,-13.50000095,-981.3000488,1.77472142,-0.138246131,0.100784104,ST
0.8,-1.39546752,-0.968393445,9.542773247,0.320124,-0.251525998,0.106707998,-1128.300049,-13.50000095,-981.3000488,1.774297785,-0.143818221,0.100551016,ST
0.833333333,-1.413411856,-0.913962483,9.46381855,0.411587983,-0.182927996,0.175305992,-1123.5,-11.70000076,-964.500061,1.772995865,-0.147147391,0.095712721,ST
0.866666667,-1.3697474,-0.950449169,9.532006264,0.358233988,-0.076219998,0.282013983,-1128.300049,-14.10000038,-969.3000488,1.772329812,-0.142155229,0.098564794,ST
0.9,-1.358382702,-1.068283319,9.656419754,0.312501997,-0.190549999,0.266770005,-1118.700073,-14.70000076,-988.500061,1.772706336,-0.138780781,0.109119472,ST
0.933333333,-1.342831016,-0.975571215,9.499706268,0.525918007,-0.053353999,0.236281991,-1130.700073,-9.900000572,-962.1000366,1.77091221,-0.139613969,0.101674371,ST
0.966666667,-1.495955586,-0.799118996,9.369311333,0.868907988,0.259148002,0.510674,-1113.900024,-13.50000095,-971.7000122,1.766715234,-0.157535602,0.084177449,ST
1.0,-1.482796431,-0.776987731,9.410583496,0.876529992,0.259148002,0.655492008,-1123.5,-12.30000019,-976.500061,1.763943573,-0.156354284,0.080816806,ST
1.033333333,-1.472627997,-0.719565988,9.40699482,0.701223969,0.083841994,0.678357959,-1113.900024,-14.10000038,-978.9000244,1.760519489,-0.155128203,0.075175732,ST
1.066666667,-1.472029805,-0.699827254,9.393835068,0.457319975,-0.068598002,0.579271972,-1123.5,-13.50000095,-966.9000244,1.757642721,-0.154973844,0.073448061,ST
1.1,-1.415804386,-0.729734421,9.436303139,0.282013983,-0.160062,0.464941978,-1140.300049,-15.30000019,-971.7000122,1.755948604,-0.14846215,0.076474629,ST
1.133333333,-1.378121376,-0.751865745,9.524828911,0.198172003,-0.312501997,0.228659987,-1116.300049,-12.30000019,-974.1000366,1.755134154,-0.142920386,0.078304429,ST
1.166666667,-1.481600165,-0.686668158,9.533203125,0.274392009,-0.464941978,0.114329994,-1116.300049,-11.10000038,-986.1000366,1.753669247,-0.152585285,0.071667958,ST
1.2,-1.348812342,-0.826633573,9.382471085,-0.007622,-0.068598002,0.274392009,-1111.5,-3.300000191,-981.3000488,1.754583001,-0.142452909,0.087366109,ST
1.233333333,-1.431954265,-0.732127011,9.660607338,-0.121951997,0.030487999,0.144817993,-1128.300049,-11.10000038,-974.1000366,1.752171103,-0.146690122,0.076141751,ST
1.266666667,-1.521077633,-0.906784773,9.320263863,0.083841994,0.358233988,0.175305992,-1106.700073,-5.700000286,-983.7000122,1.754613943,-0.161202551,0.096140594,ST
1.3,-1.795027018,-0.819455862,9.511669159,0.228659987,0.769822001,0.099086002,-1116.300049,-18.90000153,-981.3000488,1.752905411,-0.186150027,0.085963414,ST
1.333333333,-2.188006878,-0.897812605,9.432116508,0.495429993,0.899396002,-0.007622,-1118.700073,-11.10000038,-976.500061,1.755386223,-0.226792781,0.093738433,ST
1.366666667,-2.171258926,-0.942673326,9.47877121,0.419209987,1.036592007,-0.29725799,-1123.5,-8.700000763,-964.500061,1.758634272,-0.225899882,0.09835776,ST
1.4,-2.234662056,-0.923532724,9.470397949,0.396344006,0.838419974,-0.685979962,-1113.900024,-11.70000076,-976.500061,1.762146841,-0.231760864,0.096894447,ST
1.433333333,-2.316607714,-0.841587186,9.053491592,0.525918007,0.83079797,-1.006103992,-1104.300049,-4.5,-974.1000366,1.766495963,-0.249982801,0.092438542,ST
1.466666667,-2.30883193,-0.778782129,8.852516174,0.640248001,0.746955991,-1.013725996,-1118.700073,-15.30000019,-981.3000488,1.770921185,-0.25513833,0.087309831,ST
1.5,-2.688054562,-0.575413525,9.086389542,0.83079797,0.464941978,-0.891773999,-1101.900024,-11.10000038,-978.9000244,1.769626908,-0.286468146,0.063284575,ST
1.533333333,-2.768803835,-0.394176215,9.110315323,0.838419974,-0.038109999,-0.243903995,-1104.300049,-16.5,-974.1000366,1.765930954,-0.294370563,0.042774258,ST
1.566666667,-2.511602402,-0.426475942,9.151587486,0.571649969,-0.853663981,0.228659987,-1109.100098,-20.10000038,-976.500061,1.766167269,-0.267120309,0.045345949,ST
1.6,-2.309430122,-0.532347262,9.103735924,0.015244,-1.501533985,0.335367978,-1106.700073,-14.10000038,-971.7000122,1.767463889,-0.246329248,0.057676547,ST
1.633333333,-2.05462122,-0.495860517,9.292749405,-0.53354001,-1.76830399,0.198172003,-1116.300049,-14.70000076,-983.7000122,1.764805486,-0.215539347,0.05426867,ST
1.666666667,-1.879365206,-0.482103229,9.1665411,-0.564027965,-1.996963978,0.076219998,-1111.5,-14.70000076,-983.7000122,1.763291158,-0.199170023,0.053497305,ST
1.7,-1.733418345,-0.396568775,9.120484352,-0.503051996,-1.570132017,0.045731999,-1116.300049,-8.700000763,-966.9000244,1.76062023,-0.185490124,0.044666213,ST
1.733333333,-1.58388257,-0.462962657,9.484752655,-0.541162014,-1.158543944,0.442075998,-1116.300049,-14.10000038,-962.1000366,1.75852449,-0.163915252,0.049433543,ST
1.766666667,-1.637117267,-0.605918825,9.357348442,-1.006103992,-1.318606019,0.243903995,-1101.900024,-9.300000191,-966.9000244,1.758977196,-0.170307891,0.0656345,ST
1.8,-2.251410246,-0.475523651,9.310693741,-0.861285985,-0.541162014,0.060975999,-1113.900024,-10.5,-969.3000488,1.755202111,-0.233351036,0.053040183,ST
1.833333333,-2.242438078,-0.502440095,9.329236031,-0.609759986,0.251525998,0.182927996,-1123.5,-8.700000763,-964.500061,1.754182315,-0.235910354,0.054726575,ST
1.866666667,-2.448199272,-0.553282261,9.183288574,-0.396344006,0.495429993,0.259148002,-1118.700073,-7.500000477,-981.3000488,1.754007634,-0.260267693,0.060591567,ST
1.9,-2.086920738,-0.784165442,9.150391579,-0.503051996,-0.007622,-0.434453994,-1121.100098,-9.900000572,-969.3000488,1.761383711,-0.224867772,0.085495985,ST
