seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX____s_,sensor_gyroY____s_,sensor_gyroZ____s_,sensor_magX___T_,sensor_magY___T_,sensor_magZ___T_,sensor_yaw____,sensor_pitch____,sensor_roll____,label2
0.0,-0.931308627,-0.449205369,9.600194931,-0.182927996,0.358233988,1.135677934,-1212.300049,17.10000038,-904.500061,2.476895916,-0.096491727,0.044869276,ST
0.0333333333333333,-0.879270196,-0.444420218,9.884910583,0.182927996,0.228659987,0.929883957,-1236.300049,14.10000038,-906.9000244,2.475175878,-0.091036982,0.044567119,ST
0.0666666666666667,-0.858335137,-0.418101937,9.680345535,0.541162014,-0.29725799,0.411587983,-1229.100098,19.5,-909.3000488,2.474378355,-0.088820805,0.042878865,ST
0.1,-0.933701158,-0.371446788,9.591820717,0.678357959,-0.076219998,0.114329994,-1226.700073,17.10000038,-909.3000488,2.473911191,-0.094738509,0.038912866,ST
0.133333333333333,-1.055722356,-0.353502482,9.540380478,0.731711984,0.022865999,0.015244,-1231.5,8.700000763,-904.500061,2.473791204,-0.10553273,0.036706317,ST
0.166666666666667,-1.174154639,-0.146545023,9.991978645,0.647870004,-0.442075998,-0.007622,-1233.900024,10.5,-909.3000488,2.471991276,-0.113655139,0.019062393,ST
0.2,-1.109555244,-0.25181818,9.492528915,0.586893976,-0.541162014,0.350611985,-1219.5,12.30000019,-906.9000244,2.471992755,-0.114867461,0.023510549,ST
0.233333333333333,-0.898410738,-0.351109922,9.786815643,0.495429993,0.121951997,0.114329994,-1221.900024,10.5,-911.7000122,2.472772553,-0.098066272,0.031833318,ST
0.266666666666667,-0.94147706,-0.275743902,9.679149628,0.381099999,-0.457319975,-0.121951997,-1236.300049,14.10000038,-911.7000122,2.47275271,-0.096679807,0.02898378,ST
0.3,-0.881064594,-0.293688208,9.713841438,0.525918007,-0.259148002,-0.213415995,-1224.300049,15.90000057,-906.9000244,2.473257229,-0.091714612,0.029247388,ST
0.333333333333333,-0.980356336,-0.21054633,9.62531662,0.708845973,-0.480185986,-0.190549999,-1219.5,14.10000038,-906.9000244,2.473109971,-0.097949908,0.023246595,ST
